Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,282519.179,4824781.274,51.020,0,-5.69203529,43.54429002,51.020,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:19.0 UTC+02:00,2026-04-30 12:03:19.0 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2979.704,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
2,,,282529.029,4824782.024,50.957,10,-5.69191380,43.54429964,50.957,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:26.4 UTC+02:00,2026-04-30 12:03:26.4 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2981.321,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,12,0,Reach RS3,824349ADB8F8C4C3
3,,,282538.140,4824781.700,50.960,5,-5.69180101,43.54429937,50.960,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:32.8 UTC+02:00,2026-04-30 12:03:32.8 UTC+02:00,1,1.2,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2983.830,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,12,0,Reach RS3,824349ADB8F8C4C3
4,,,282548.090,4824780.650,50.898,10,-5.69167756,43.54429283,50.898,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:39.8 UTC+02:00,2026-04-30 12:03:39.8 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2987.275,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
5,,,282559.671,4824781.049,50.947,30,-5.69153452,43.54429979,50.947,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:48.0 UTC+02:00,2026-04-30 12:03:48.0 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2989.749,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
6,,,282566.888,4824782.061,50.949,50,-5.69144569,43.54431100,50.949,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:03:53.8 UTC+02:00,2026-04-30 12:03:53.8 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2990.575,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
7,,,282575.147,4824785.134,50.879,100,-5.69134480,43.54434104,50.879,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:00.4 UTC+02:00,2026-04-30 12:04:00.4 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2989.694,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
8,,,282580.542,4824788.817,50.754,100,-5.69127957,43.54437574,50.754,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:05.4 UTC+02:00,2026-04-30 12:04:05.4 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2987.517,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,10,0,Reach RS3,824349ADB8F8C4C3
9,,,282585.856,4824790.526,50.678,100,-5.69121454,43.54439266,50.678,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:09.6 UTC+02:00,2026-04-30 12:04:09.6 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2987.236,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
10,,,282594.967,4824791.580,50.664,100,-5.69110231,43.54440479,50.664,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:15.2 UTC+02:00,2026-04-30 12:04:15.2 UTC+02:00,1,1.7,2.1,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2988.583,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
11,,,282600.971,4824795.088,50.745,100,-5.69102947,43.54443809,50.745,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:20.2 UTC+02:00,2026-04-30 12:04:20.2 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2986.770,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
12,,,282603.981,4824799.462,50.627,100,-5.69099401,43.54447831,50.627,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:24.8 UTC+02:00,2026-04-30 12:04:24.8 UTC+02:00,1,2.1,2.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2983.352,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
13,,,282604.957,4824803.323,50.688,100,-5.69098348,43.54451332,50.688,Global,0.010,0.013,0.017,0.016,1.934,m,FIX,RTK,2026-04-30 12:04:28.4 UTC+02:00,2026-04-30 12:04:28.4 UTC+02:00,1,1.7,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2979.888,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
14,,,282604.472,4824805.337,50.668,100,-5.69099029,43.54453129,50.668,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:30.8 UTC+02:00,2026-04-30 12:04:30.8 UTC+02:00,1,1.6,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2977.820,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
15,,,282600.813,4824811.613,50.704,0,-5.69103805,43.54458668,50.704,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:04:38.4 UTC+02:00,2026-04-30 12:04:38.4 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2970.802,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,11,0,Reach RS3,824349ADB8F8C4C3
